facility_name,cms_certification_number_ccn,alternate_ccn,address,city,state,zip_code,network,longterm_catheter_achievement_measure_rate,standardized_fistula_achievement_measure_rate,vascular_access_combined_measure_score,ktv_comprehensive_achievement_measure_rate,hypercalcemia_achievement_measure_rate,nhsn_bsi_achievement_measure_ratio,nhsn_dialysis_event_reporting_measure_score,ich_cahps_neph_comm_and_caring_achievement_rate,ich_cahps_quality_of_dialysis_care_and_ops_achievement_rate,ich_cahps_providing_info_to_patients_achievement_rate,ich_cahps_overall_rating_of_neph_achievement_rate,ich_cahps_overall_rating_of_dialysis_staff_achievement_rate,ich_cahps_overall_rating_of_dialysis_facility_achievement_rate,standardized_readmission_ratio_srr_measure_score,srr_achievement_measure_ratio,strr_achievement_measure_ratio,standardized_hospitalization_ratio_shr_measure_score,shr_achievement_measure_ratio,clinical_depression_screening_and_followup_measure_score,ultrafiltration_measure_score,total_performance_score,py2021_payment_reduction_percentage
"032302 MARICOPA MEDICAL CTR - DIALYSIS",032302,030022,"2525 E ROOSEVELT ST",PHOENIX,AZ,85008,15,5.68%,73.70%,9,98.09%,0.30%,0.963,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate",6,0.876,10,3,71,0.00%
"032314 PHOENIX CHILDRENS HOSPITAL- DIALYSIS CENTER",032314,033302,"1920 E CAMBRIDGE RD STE 102",PHOENIX,AZ,85016,15,"No Rate","No Rate","No Score",94.14%,"No Rate",0.796,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.664,"No Rate",10,0.636,2,"No Score",54,0.50%
"032315 GILA RIVER DIALYSIS EAST",032315,031308,"565 W SEED FARM RD",SACATON,AZ,85147,15,6.83%,81.02%,10,91.27%,0.00%,1.045,10,67.12%,65.16%,84.30%,76.43%,76.17%,88.41%,7,0.796,0.642,8,0.765,10,3,68,0.00%
"032316 Banner University Medical Center Pediatric Outpati",032316,030064,"PO BOX 245148",TUCSON,AZ,85724,15,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"032503 PHOENIX ARTIFICIAL KIDNEY CENTER (FMC)",032503,-,"13090 N 94TH DR STE 100",PEORIA,AZ,85381,15,14.95%,68.08%,5,99.41%,0.34%,0.435,10,63.02%,61.96%,79.23%,45.05%,64.77%,73.02%,1,1.201,0,0,1.304,10,8,54,0.50%
"032508 SOUTH PHOENIX DIALYSIS SERVICES (FMC)",032508,-,"1021 S 7TH AVE STE 108",PHOENIX,AZ,85007,15,8.27%,73.55%,9,98.37%,0.67%,0.172,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.918,1.283,1,1.514,10,3,58,0.00%
"032509 EAST VALLEY DIALYSIS (FMC)",032509,-,"135 S POWER RD STE 103",MESA,AZ,85206,15,14.25%,72.72%,7,93.77%,0.33%,0.574,10,66.27%,60.91%,79.46%,68.31%,63.43%,70.53%,3,1.063,0.49,1,1.186,10,1,48,0.50%
"032514 DESERT DIALYSIS CENTER (DCI)",032514,-,"2022 E PRINCE RD",TUCSON,AZ,85719,15,7.40%,74.50%,9,84.77%,0.56%,0.422,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.187,0.901,1,1.203,10,3,47,0.50%
"032516 CHANDLER DIALYSIS (FMC)",032516,-,"912 W CHANDLER BLVD BLDG A-D",CHANDLER,AZ,85225,15,14.00%,69.14%,6,97.53%,0.09%,0.12,10,55.08%,53.84%,66.20%,49.81%,56.55%,58.86%,4,1.035,2.034,2,1.165,10,4,45,1.00%
"032517 CENTRAL PHX DIALYSIS (FMC)",032517,-,"3421 N 7TH AVE",PHOENIX,AZ,85013,15,9.77%,72.95%,8,98.68%,0.30%,0.183,10,69.94%,61.98%,74.58%,67.30%,64.65%,82.01%,2,1.272,1.957,5,1.282,10,7,57,0.00%
"032521 DIALYSIS CENTER OF GLENDALE (FMC)",032521,-,"5957 W NORTHERN AVE STE 108",GLENDALE,AZ,85301,15,5.85%,68.29%,8,97.91%,0.00%,1.012,10,79.22%,60.66%,82.17%,73.78%,71.54%,66.00%,4,0.987,1.793,0,1.359,10,4,49,0.50%
"032522 PARKER DIALYSIS CENTER (FMC)",032522,-,"AGENCY ROAD BLDG 173 - RURAL RT 1/AGENCY ROAD",PARKER,AZ,85344,15,2.48%,81.55%,10,95.20%,0.87%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.375,0.687,10,0.656,10,3,84,0.00%
"032524 FLAGSTAFF DIALYSIS CENTER (FMC)",032524,-,"2201 N VICKEY STREET, STE 120",FLAGSTAFF,AZ,86004,15,26.79%,49.10%,0,96.60%,0.70%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1,0.637,9,0.726,10,5,64,0.00%
"032526 SOUTHWEST MESA DIALYSIS (DSI)",032526,-,"1457 W SOUTHERN AVE STE 19",MESA,AZ,85202,15,14.02%,68.99%,6,92.58%,0.82%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.477,0.277,0,1.697,10,0,44,1.00%
"032528 THUNDERBIRD DIALYSIS (FMC)",032528,-,"5750 W THUNDERBIRD RD BLDG G #750",GLENDALE,AZ,85306,15,12.21%,68.97%,6,97.76%,0.77%,0.663,10,58.71%,64.08%,73.69%,46.21%,59.44%,76.84%,8,0.711,0.336,7,0.858,10,1,63,0.00%
