provider_number,network,facility_name,five_star_date,five_star,five_star_data_availability_code,address_line_1,address_line_2,city,state,zip,county,phone_number,profit_or_nonprofit,chain_owned,chain_organization,late_shift,of_dialysis_stations,offers_incenter_hemodialysis,offers_peritoneal_dialysis,offers_home_hemodialysis_training,percentage_of_medicare_patients_with_hgb10_gdl,percentage_of_medicare_patients_with_hgb12_gdl,percentage_of_adult_patients_with_serum_phosphorus_less_tha_1,percentage_of_adult_patients_with_serum_phosphorus_between__2,percentage_of_adult_patients_with_serum_phosphorus_between__3,percentage_of_adult_patients_with_serum_phosphorus_between__4,percentage_of_adult_patients_with_serum_phosphorus_greater__5,mortality_rate_facility,hospitalization_rate_facility,standard_infection_ratio,percentage_of_adult_patients_with_long_term_catheter_in_use,standardized_first_kidney_transplant_waitlist_ratio
012533,8,"DAVITA WALKER COUNTY DIALYSIS",01/01/2016-12/31/2019,4,1,"260 6TH AVENUE NORTHWEST",,JASPER,AL,35504,WALKER,"(205) 384-6919",Profit,Yes,DAVITA,0,13,1,1,1,24,0,7,20,23,20,31,28.1,328.4,3.09,6,
012534,8,"BESSEMER KIDNEY CENTER",01/01/2016-12/31/2019,3,1,"975 9TH AVE SW","SUITE 500",BESSEMER,AL,35022,JEFFERSON,"(205) 424-3757",Profit,Yes,"FRESENIUS MEDICAL CARE",0,36,1,0,0,33,0,10,26,31,21,11,28.2,190.8,0.6,11,0.61
012525,8,"FMC WEST MOBILE",01/01/2016-12/31/2019,5,1,"6601 WALL STREET","SUITE A",MOBILE,AL,36695,MOBILE,"(251) 633-2681",Profit,Yes,"FRESENIUS MEDICAL CARE",0,20,1,0,0,21,0,11,26,33,17,13,14.4,202.1,0,5,0
012526,8,"RCG PRINCETON",01/01/2016-12/31/2019,3,1,"708 COTTON AVE SW",,BIRMINGHAM,AL,35211,JEFFERSON,"(205) 785-3500",Profit,Yes,"FRESENIUS MEDICAL CARE",0,34,1,1,1,17,0,10,24,27,25,14,25.2,241.3,0.18,7,0.9
012527,8,"DCI ENTERPRISE",01/01/2016-12/31/2019,5,1,"3861 SALEM ROAD",,ENTERPRISE,AL,36330,COFFEE,"(334) 347-8233",Non-Profit,Yes,"DIALYSIS CLINIC, INC.",0,26,1,1,1,0,0,5,26,44,16,9,23.6,127.8,1.16,7,
012501,8,"DAVITA GADSDEN DIALYSIS",01/01/2016-12/31/2019,4,1,"409 SOUTH FIRST STREET",,GADSDEN,AL,35901,ETOWAH,"(256) 547-2457",Profit,Yes,DAVITA,0,24,1,0,0,12,0,5,20,31,20,25,27.8,336,1.25,5,0
012502,8,"DAVITA TUSCALOOSA UNIVERSITY DIALYSIS",01/01/2016-12/31/2019,3,1,"220 15TH STREET",,TUSCALOOSA,AL,35401,TUSCALOOSA,"(205) 345-6004",Profit,Yes,DAVITA,0,23,1,1,0,22,0,8,23,30,20,18,21.8,179.8,0.66,10,0.96
012505,8,"DAVITA PDI-MONTGOMERY",01/01/2016-12/31/2019,3,1,"1001 FOREST AVENUE",,MONTGOMERY,AL,36106,MONTGOMERY,"(334) 269-9416",Profit,Yes,DAVITA,0,18,1,1,1,14,0,8,21,29,21,20,24.9,219.7,0.71,12,0.73
012506,8,"DAVITA DOTHAN DIALYSIS",01/01/2016-12/31/2019,3,1,"216 GRACELAND DR.",,DOTHAN,AL,36305,HOUSTON,"(334) 793-4077",Profit,Yes,DAVITA,0,27,1,1,1,21,0,6,22,33,23,17,29.7,298.8,0.7,8,
012507,8,"FMC MOBILE",01/01/2016-12/31/2019,5,1,"2620 OLD SHELL RD",,MOBILE,AL,36607,MOBILE,"(251) 476-2762",Profit,Yes,"FRESENIUS MEDICAL CARE",0,24,1,0,0,10,0,10,24,25,23,17,24.9,166.5,0.36,3,0
012528,8,"FMC CAHABA VALLEY",01/01/2016-12/31/2019,3,1,"120 CAHABA VALLEY PARKWAY","SUITE 150",PELHAM,AL,35124,SHELBY,"(205) 988-0469",Profit,Yes,"FRESENIUS MEDICAL CARE",0,24,1,0,0,8,0,12,21,26,24,17,20.8,221.5,0.26,9,1.41
012529,8,"DAVITA FLORENCE DIALYSIS",01/01/2016-12/31/2019,5,1,"422 EAST DR. HICKS BLVD",,FLORENCE,AL,35630,LAUDERDALE,"(256) 764-5050",Profit,Yes,DAVITA,0,18,1,1,0,23,7,5,22,31,22,19,24.9,186.3,1.55,10,0.72
012530,8,"RAI EAST 11TH ST ANNISTON",01/01/2016-12/31/2019,3,1,"522 EAST 11TH STREET","1ST FLOOR",ANNISTON,AL,36207,CALHOUN,"(256) 237-7566",Profit,No,INDEPENDENT,0,21,1,0,0,18,0,6,22,28,27,16,31.5,187.8,0,14,0.47
012306,8,"CHILDRENS HOSPITAL DIALYSIS",01/01/2016-12/31/2019,,260,"1600 7TH AVENUE SOUTH",,BIRMINGHAM,AL,35233,JEFFERSON,"(205) 638-9275",Non-Profit,No,INDEPENDENT,0,7,1,1,1,,,,,,,,,138.7,,,1.75
012500,8,"FMC CAPITOL CITY",01/01/2016-12/31/2019,3,1,"255 S JACKSON STREET",,MONTGOMERY,AL,36104,MONTGOMERY,"(334) 263-1028",Profit,Yes,"FRESENIUS MEDICAL CARE",0,34,1,1,1,16,0,10,25,26,23,15,22.4,148.7,0.34,20,0.17
012516,8,"DSI SOUTH DIALYSIS",01/01/2016-12/31/2019,3,1,"3201 3RD AVE SOUTH",,BIRMINGHAM,AL,35222,JEFFERSON,"(205) 502-5300",Profit,Yes,"DIVERSIFIED SPECIALTY INSTITUTES (DSI)",0,20,1,1,1,25,0,9,28,45,12,6,26.1,244.7,0.4,5,
012517,8,"DAVITA ATHENS DIALYSIS",01/01/2016-12/31/2019,3,1,"15953 ATHENS LIMESTONE DRIVE",,ATHENS,AL,35613,LIMESTONE,"(256) 233-4730",Profit,Yes,DAVITA,0,12,1,1,1,6,0,5,17,29,25,24,31.4,214,1.61,6,0.96
